"date","SARS_CoV_2_RNA_copies_d_100000","quantification_flag","flow_m3_d","sample_origin"
"2021-08-10","804000000000","Q",44789,"ARADi"
"2021-08-10","55500000000","D",23550,"ARADü"
"2021-08-10","166000000000","D",10740,"ARAHo"
"2021-08-10","2780000000000","Q",6700,"ARAIL"
"2021-08-10","98100000000","D",9941,"ARAMe"
"2021-08-10","422000000000","Q",24425,"ARANi"
"2021-08-10","284000000000","Q",20799,"ARAUs"
"2021-08-10","325000000000","Q",12139,"ARAWe"
"2021-08-10","1880000000000","Q",51711,"ARAWi"
"2021-08-10","146000000000","D",217690,"ARAZH"
"2021-08-12","376000000000","Q",10207,"ARAAf"
"2021-08-12","314000000000","Q",10094,"ARABü"
"2021-08-12","1330000000000","Q",41204,"ARADi"
"2021-08-12","268000000000","Q",21470,"ARADü"
"2021-08-12","469000000000","Q",9278,"ARAHo"
"2021-08-12","740000000000","Q",6100,"ARAIL"
"2021-08-12","99500000000","D",8626,"ARAMe"
"2021-08-12","798000000000","Q",20913,"ARANi"
"2021-08-12","363000000000","Q",18526,"ARAUs"
"2021-08-12","284000000000","Q",10804,"ARAWe"
"2021-08-12","603000000000","Q",42400,"ARAWi"
"2021-08-12","1120000000000","Q",196262,"ARAZH"
"2021-08-15","2200000000000","Q",10698,"ARAAf"
"2021-08-15","835000000000","Q",10144,"ARABü"
"2021-08-15","1450000000000","Q",35113,"ARADi"
"2021-08-15","645000000000","Q",18810,"ARADü"
"2021-08-15","1410000000000","Q",10956,"ARAHo"
"2021-08-15","5290000000000","Q",5752,"ARAIL"
"2021-08-15","3510000000000","Q",13146,"ARAMe"
"2021-08-15","1820000000000","Q",12985,"ARANi"
"2021-08-15","2530000000000","Q",19391,"ARAUs"
"2021-08-15","1470000000000","Q",9805,"ARAWe"
"2021-08-15","1660000000000","Q",42100,"ARAWi"
"2021-08-15","744000000000","Q",179896,"ARAZH"
"2021-08-17","51200000000","D",9701,"ARAAf"
"2021-08-17","2090000000000","Q",12897,"ARABü"
"2021-08-17","7260000000000","Q",40261,"ARADi"
"2021-08-17","1620000000000","Q",20830,"ARADü"
"2021-08-17","153000000000","D",13400,"ARAHo"
"2021-08-17","4110000000000","Q",5600,"ARAIL"
"2021-08-17","790000000000","Q",14104,"ARAMe"
